INFO 2025-05-16 08:45:26,515 autoreload 14728 11236 Watching for file changes with StatReloader
INFO 2025-05-16 09:06:54,454 autoreload 14728 11236 C:\Users\Hector\Documents\PROYECTO_TESIS\asesorias-cesmag\backend\usuarios\__init__.py changed, reloading.
INFO 2025-05-16 09:06:56,732 autoreload 8040 30764 Watching for file changes with StatReloader
INFO 2025-05-16 09:07:04,048 autoreload 8040 30764 C:\Users\Hector\Documents\PROYECTO_TESIS\asesorias-cesmag\backend\backend\__init__.py changed, reloading.
INFO 2025-05-16 09:07:05,483 autoreload 8732 18548 Watching for file changes with StatReloader
INFO 2025-05-16 09:09:57,581 basehttp 8732 24892 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:14:57,640 basehttp 8732 40928 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:19:57,803 basehttp 8732 34176 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:24:57,925 basehttp 8732 14584 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:29:58,207 basehttp 8732 7356 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:34:58,505 basehttp 8732 31756 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:39:58,922 basehttp 8732 20488 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:44:59,296 basehttp 8732 13968 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1967
INFO 2025-05-16 09:49:59,538 basehttp 8732 28236 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 09:54:59,962 basehttp 8732 40560 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:00:00,354 basehttp 8732 17300 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:05:00,817 basehttp 8732 10804 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:10:00,919 basehttp 8732 17892 "GET /asesorias-programadas-docente/ HTTP/1.1" 200 1453
INFO 2025-05-16 10:12:41,585 basehttp 8732 40096 "GET /verificar-permiso-crear-horarios/ HTTP/1.1" 200 30
